<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
REE,06/24/2011,11.5,11.7,11.5,11.5,678800
REE,06/23/2011,11.6,11.8,11.5,11.5,324080
REE,06/22/2011,12.0,12.0,11.7,11.7,724340
REE,06/21/2011,11.6,11.7,11.3,11.7,769460
REE,06/20/2011,11.4,11.7,11.2,11.2,732630
REE,06/17/2011,12.0,12.2,11.5,11.5,901470
REE,06/16/2011,11.6,12.1,11.6,12.0,900690
REE,06/15/2011,12.2,12.2,11.6,11.6,1634460
REE,06/14/2011,12.2,12.9,12.1,12.2,1999430
REE,06/13/2011,12.3,12.6,12.1,12.3,1026920
REE,06/10/2011,12.5,12.7,12.3,12.4,1820130
REE,06/09/2011,12.0,12.3,11.9,12.1,833440
REE,06/08/2011,12.3,12.7,12.0,12.1,1342000
REE,06/07/2011,12.1,12.2,12.0,12.2,1496360
REE,06/06/2011,11.5,11.8,11.3,11.7,1096740
REE,06/03/2011,12.3,12.3,11.6,11.6,3059240
REE,06/02/2011,11.8,11.8,11.8,11.8,1369190
REE,06/01/2011,10.9,11.3,10.8,11.3,896940
REE,05/31/2011,10.6,10.8,10.4,10.8,1050270
REE,05/30/2011,11.0,11.0,10.6,10.7,3035800
REE,05/27/2011,10.5,10.5,10.5,10.5,100210
REE,05/26/2011,9.2,10.0,9.2,10.0,908600
REE,05/25/2011,9.8,10.0,9.6,9.6,1378370
REE,05/24/2011,10.5,10.5,10.1,10.1,1925040
REE,05/23/2011,10.9,11.1,10.6,10.6,820690
REE,05/20/2011,11.0,11.1,10.9,11.1,935080
REE,05/19/2011,11.0,11.3,11.0,11.0,478080
REE,05/18/2011,11.2,11.3,10.9,11.1,936660
REE,05/17/2011,11.5,11.7,11.3,11.3,715990
REE,05/16/2011,11.8,12.0,11.6,11.6,770240
REE,05/13/2011,11.9,12.0,11.8,11.9,302230
REE,05/12/2011,12.0,12.0,11.8,11.9,181180
