<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SAV,06/29/2011,28.5,28.5,28.5,28.5,10
SAV,06/28/2011,27.1,28.5,27.1,28.5,1050
SAV,06/27/2011,28.5,28.5,28.5,28.5,20
SAV,06/23/2011,28.7,28.7,28.7,28.7,20
SAV,06/22/2011,30.2,30.2,30.2,30.2,50
SAV,06/21/2011,27.4,28.8,27.4,28.8,40
SAV,06/20/2011,28.8,28.8,28.8,28.8,10
SAV,06/17/2011,27.5,27.5,27.5,27.5,1220
SAV,06/16/2011,31.7,31.7,28.9,28.9,700
SAV,06/14/2011,30.4,30.4,30.4,30.4,1000
SAV,06/13/2011,32.0,32.0,32.0,32.0,10
SAV,06/10/2011,31.2,31.2,31.1,31.1,120
SAV,06/09/2011,31.2,31.2,31.2,31.2,500
SAV,06/08/2011,31.2,31.2,31.2,31.2,100
SAV,06/07/2011,27.3,29.9,27.3,29.9,2720
SAV,06/06/2011,28.5,28.5,28.5,28.5,10
SAV,06/03/2011,29.0,29.0,29.0,29.0,10
SAV,06/02/2011,30.0,30.0,30.0,30.0,100
SAV,06/01/2011,30.4,30.4,30.4,30.4,2000
SAV,05/31/2011,30.4,30.4,30.4,30.4,20
SAV,05/30/2011,30.4,32.0,30.4,32.0,620
SAV,05/27/2011,32.0,32.0,32.0,32.0,1500
SAV,05/26/2011,30.4,31.9,30.4,31.9,1120
SAV,05/25/2011,30.4,30.4,30.4,30.4,30
SAV,05/24/2011,32.0,32.0,32.0,32.0,110
SAV,05/23/2011,32.0,32.0,32.0,32.0,700
SAV,05/20/2011,32.0,32.0,32.0,32.0,500
SAV,05/19/2011,32.0,32.0,32.0,32.0,120
SAV,05/18/2011,31.8,31.8,31.8,31.8,300
SAV,05/17/2011,28.9,31.5,28.9,30.4,1230
SAV,05/16/2011,30.0,30.4,30.0,30.4,400
SAV,05/13/2011,30.4,30.4,30.4,30.4,10
SAV,05/12/2011,30.5,30.5,30.5,30.5,300
SAV,05/11/2011,30.0,30.5,29.5,30.5,1300
SAV,05/10/2011,29.0,30.5,29.0,30.5,4200
SAV,05/09/2011,29.2,29.2,29.2,29.2,1220
SAV,05/06/2011,30.7,30.7,30.7,30.7,1040
SAV,05/05/2011,32.3,32.3,32.3,32.3,20
SAV,05/04/2011,34.0,34.0,34.0,34.0,1000
SAV,04/29/2011,34.0,34.0,34.0,34.0,8000
SAV,04/28/2011,33.5,33.5,33.5,33.5,10000
SAV,04/27/2011,33.0,33.0,33.0,33.0,5000
SAV,04/26/2011,32.0,32.0,32.0,32.0,6420
SAV,04/25/2011,30.7,30.7,30.7,30.7,2560
SAV,04/22/2011,31.3,32.3,30.3,32.3,2830
SAV,04/21/2011,31.8,31.8,31.8,31.8,320
SAV,04/20/2011,30.4,30.4,30.4,30.4,5030
SAV,04/19/2011,31.9,32.0,31.9,31.9,770
SAV,04/18/2011,33.5,33.5,33.5,33.5,1500
SAV,04/15/2011,31.5,33.0,33.0,33.0,1400
SAV,04/14/2011,32.0,31.5,31.5,31.5,1000
SAV,04/13/2011,32.0,32.0,32.0,32.0,1000
SAV,04/08/2011,31.3,32.0,31.3,32.0,1030
SAV,04/07/2011,31.4,33.0,31.4,32.9,2220
SAV,04/06/2011,32.0,33.0,32.0,33.0,510
SAV,04/05/2011,32.5,32.8,32.5,32.8,9440
SAV,04/04/2011,32.5,32.8,32.5,32.8,1010
SAV,04/01/2011,32.0,32.5,32.5,32.5,3200
SAV,03/31/2011,31.5,32.0,32.0,32.0,2000
SAV,03/30/2011,31.4,31.5,31.5,31.5,5010
SAV,03/29/2011,29.0,31.4,29.0,31.4,8770
SAV,03/28/2011,30.5,30.5,30.5,30.5,2500
SAV,03/25/2011,29.8,30.5,30.5,30.5,2000
SAV,03/24/2011,29.0,29.8,29.0,29.8,2300
SAV,03/23/2011,31.3,29.8,29.8,29.8,2010
SAV,03/22/2011,31.3,31.3,31.3,31.3,1500
SAV,03/21/2011,30.0,31.3,30.0,31.3,3030
SAV,03/18/2011,31.5,31.5,31.5,31.5,1000
SAV,03/17/2011,31.9,31.9,31.5,31.5,510
SAV,03/16/2011,30.1,31.0,31.0,31.0,100
SAV,03/15/2011,28.6,30.5,28.6,30.1,260
SAV,03/14/2011,30.8,30.1,30.1,30.1,500
SAV,03/11/2011,30.5,30.5,28.8,30.3,1870
SAV,03/10/2011,29.1,30.3,30.3,30.3,100
SAV,03/09/2011,30.5,29.1,29.1,29.1,700
SAV,03/08/2011,29.6,30.5,29.6,30.5,3610
SAV,03/07/2011,30.5,31.1,30.4,31.1,2140
SAV,03/04/2011,32.0,32.0,32.0,32.0,500
SAV,03/02/2011,32.2,32.0,32.0,32.0,2000
SAV,03/01/2011,30.8,32.2,30.8,32.2,200
SAV,02/28/2011,32.5,32.5,32.4,32.4,300
SAV,02/25/2011,30.5,32.5,30.2,32.0,7300
SAV,02/23/2011,31.0,31.8,31.8,31.8,910
SAV,02/22/2011,31.0,31.0,31.0,31.0,1010
SAV,02/21/2011,32.0,32.0,32.0,32.0,10
SAV,02/18/2011,33.5,33.5,33.5,33.5,20
SAV,02/17/2011,30.4,32.5,30.4,32.5,3520
SAV,02/16/2011,32.0,32.0,32.0,32.0,1200
SAV,02/15/2011,32.7,32.0,32.0,32.0,2000
SAV,02/14/2011,35.0,35.0,32.7,32.7,120
SAV,02/09/2011,34.4,34.4,34.4,34.4,2000
SAV,02/08/2011,33.5,34.4,34.4,34.4,1000
SAV,01/28/2011,32.5,33.5,33.5,33.5,6100
SAV,01/27/2011,32.5,32.5,32.5,32.5,2000
SAV,01/25/2011,32.0,32.5,32.5,32.5,3100
SAV,01/24/2011,31.5,32.0,32.0,32.0,130
SAV,01/19/2011,31.5,31.5,31.5,31.5,3200
SAV,01/18/2011,32.3,31.5,31.5,31.5,1000
SAV,01/17/2011,32.3,32.3,32.3,32.3,1020
SAV,01/14/2011,31.0,31.0,31.0,31.0,500
SAV,01/13/2011,30.5,31.3,29.8,31.3,4050
SAV,01/12/2011,31.5,31.3,31.3,31.3,500
SAV,01/11/2011,30.7,31.5,30.7,31.5,2490
SAV,01/10/2011,31.1,32.3,31.1,32.3,6600
SAV,01/07/2011,32.5,32.7,32.5,32.7,2030
SAV,01/06/2011,33.5,33.5,33.5,33.5,10
SAV,01/05/2011,32.5,33.5,32.5,33.5,410
SAV,01/04/2011,35.1,34.0,34.0,34.0,2040
SAV,12/31/2010,33.2,35.1,33.2,35.1,25200
SAV,12/30/2010,34.5,34.9,34.9,34.9,29000
