<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SSC,07/01/2011,21.1,23.0,21.1,23.0,6520
SSC,06/30/2011,21.4,22.2,21.4,22.2,4000
SSC,06/29/2011,21.5,21.5,21.0,21.4,6020
SSC,06/28/2011,21.5,22.0,20.4,21.0,8100
SSC,06/27/2011,21.0,21.4,20.7,21.4,7180
SSC,06/24/2011,21.5,21.5,20.5,21.5,2110
SSC,06/23/2011,20.1,21.2,20.1,21.2,6850
SSC,06/22/2011,20.4,21.0,20.3,20.8,2900
SSC,06/21/2011,20.3,20.8,20.3,20.8,5210
SSC,06/20/2011,20.5,20.5,20.5,20.5,8460
SSC,06/17/2011,21.0,21.0,20.0,20.8,8440
SSC,06/16/2011,19.8,20.5,19.8,20.5,7370
SSC,06/15/2011,20.1,20.1,20.0,20.0,3110
SSC,06/14/2011,19.8,21.0,19.8,21.0,5370
SSC,06/13/2011,21.0,21.0,20.3,20.3,1200
SSC,06/10/2011,20.6,20.6,20.0,20.4,5640
SSC,06/09/2011,19.8,20.0,19.8,19.8,23100
SSC,06/08/2011,19.4,19.8,19.4,19.8,29700
SSC,06/07/2011,19.0,19.0,18.5,19.0,68750
SSC,06/06/2011,19.8,19.8,19.0,19.0,43130
SSC,06/03/2011,20.5,20.5,19.5,19.9,4650
SSC,06/02/2011,20.3,20.3,20.2,20.3,12100
SSC,06/01/2011,18.5,19.4,18.5,19.4,17060
SSC,05/31/2011,17.6,18.5,17.6,18.5,7830
SSC,05/30/2011,17.5,17.9,17.3,17.9,4270
SSC,05/27/2011,17.7,17.7,17.3,17.6,8800
SSC,05/26/2011,16.5,17.0,16.4,17.0,6170
SSC,05/25/2011,16.6,17.1,16.6,17.1,6050
SSC,05/24/2011,16.9,17.3,16.9,17.3,6050
SSC,05/23/2011,18.1,18.1,17.5,17.5,2080
SSC,05/20/2011,17.5,17.6,17.5,17.5,2690
SSC,05/19/2011,17.8,18.0,17.7,18.0,2300
SSC,05/18/2011,18.0,18.0,17.6,17.8,5600
SSC,05/17/2011,18.0,18.0,17.5,17.9,5620
SSC,05/16/2011,18.0,18.3,18.0,18.3,820
SSC,05/13/2011,18.0,18.0,18.0,18.0,50
SSC,05/12/2011,18.5,18.5,18.0,18.4,2500
SSC,05/11/2011,17.9,18.5,17.9,18.5,360
SSC,05/10/2011,18.5,18.5,18.5,18.5,1500
SSC,05/09/2011,18.5,18.5,18.5,18.5,2000
SSC,05/06/2011,17.5,18.5,17.5,18.5,3300
SSC,05/05/2011,18.0,18.5,18.0,18.2,2280
SSC,05/04/2011,18.2,18.3,17.5,18.2,5300
SSC,04/29/2011,18.3,18.3,18.0,18.1,2610
SSC,04/28/2011,18.0,18.0,17.9,17.9,3710
