<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
STB,07/01/2011,12.0,12.6,11.9,12.6,2793870
STB,06/30/2011,12.0,12.1,12.0,12.0,474400
STB,06/29/2011,12.0,12.1,12.0,12.0,603280
STB,06/28/2011,12.0,12.1,12.0,12.0,632680
STB,06/27/2011,11.9,12.1,11.9,12.0,581890
STB,06/24/2011,12.0,12.0,11.9,12.0,713480
STB,06/23/2011,11.8,12.0,11.8,11.9,444550
STB,06/22/2011,11.9,11.9,11.8,11.9,462750
STB,06/21/2011,11.8,12.0,11.8,11.9,575320
STB,06/20/2011,11.8,11.9,11.8,11.9,2187690
STB,06/17/2011,11.9,12.0,11.8,11.9,3388690
STB,06/16/2011,11.9,12.0,11.8,11.9,1515940
STB,06/15/2011,11.9,12.0,11.8,11.9,1963900
STB,06/14/2011,11.9,12.2,11.9,12.0,2106340
STB,06/13/2011,11.9,12.0,11.8,11.9,1560910
STB,06/10/2011,11.8,12.0,11.8,11.9,1154960
STB,06/09/2011,11.8,11.8,11.7,11.8,1199070
STB,06/08/2011,11.9,11.9,11.7,11.8,1978330
STB,06/07/2011,11.9,12.0,11.8,11.9,845560
STB,06/06/2011,11.8,11.9,11.7,11.9,1033250
STB,06/03/2011,12.2,12.2,11.8,11.9,789150
STB,06/02/2011,11.9,12.2,11.9,12.0,1871320
STB,06/01/2011,11.7,11.9,11.7,11.8,1246390
STB,05/31/2011,11.7,11.8,11.6,11.7,963620
STB,05/30/2011,12.0,12.0,11.7,11.7,361400
STB,05/27/2011,12.0,12.0,11.9,12.0,617160
STB,05/26/2011,11.6,12.1,11.6,11.9,1556280
STB,05/25/2011,11.9,12.0,11.7,11.9,2156020
STB,05/24/2011,12.0,12.2,11.9,12.2,2928370
STB,05/23/2011,12.2,12.3,12.0,12.2,1441950
STB,05/20/2011,12.4,12.4,12.3,12.3,836850
STB,05/19/2011,12.3,12.4,12.3,12.4,914970
STB,05/18/2011,12.3,12.4,12.3,12.4,2133660
STB,05/17/2011,12.4,12.5,12.3,12.4,942290
STB,05/16/2011,12.4,12.7,12.4,12.4,445010
STB,05/13/2011,12.4,12.5,12.4,12.5,584450
STB,05/12/2011,12.4,12.6,12.4,12.5,1223560
STB,05/11/2011,12.7,12.7,12.4,12.5,1172770
STB,05/10/2011,12.7,12.9,12.6,12.6,614480
STB,05/09/2011,12.9,12.9,12.8,12.8,401680
STB,05/06/2011,12.9,13.0,12.8,12.9,928620
STB,05/05/2011,12.9,13.0,12.9,12.9,417070
STB,05/04/2011,12.9,13.0,12.9,13.0,497840
STB,04/29/2011,12.9,13.0,12.8,12.9,488290
STB,04/28/2011,12.9,13.0,12.8,12.9,2004110
STB,04/27/2011,13.1,13.2,12.8,12.8,1721170
STB,04/26/2011,13.4,13.5,13.2,13.2,710410
STB,04/25/2011,13.4,13.6,13.4,13.5,1877280
STB,04/22/2011,13.4,13.5,13.4,13.4,960140
STB,04/21/2011,13.4,13.5,13.3,13.5,931880
STB,04/20/2011,13.3,13.5,13.3,13.4,218860
STB,04/19/2011,13.5,13.7,13.5,13.5,482800
STB,04/18/2011,13.6,13.7,13.5,13.7,1581530
STB,04/15/2011,13.8,13.9,13.6,13.8,1997350
STB,04/14/2011,13.8,13.8,13.7,13.9,3109390
STB,04/13/2011,13.8,13.9,13.8,13.8,1207560
STB,04/08/2011,13.8,13.9,13.8,13.8,851500
STB,04/07/2011,13.8,14.0,13.8,14.0,2151400
STB,04/06/2011,13.8,14.0,13.8,13.9,1703820
