<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TDH,06/29/2011,17.2,17.7,17.0,17.7,72960
TDH,06/28/2011,17.1,17.3,16.9,17.2,189910
TDH,06/27/2011,17.3,17.7,17.2,17.2,199840
TDH,06/24/2011,17.5,18.0,17.4,17.5,225110
TDH,06/23/2011,18.3,18.3,17.5,17.6,56120
TDH,06/22/2011,18.5,18.8,17.9,18.1,224950
TDH,06/21/2011,18.2,18.9,17.9,18.6,231590
TDH,06/20/2011,18.5,18.6,18.1,18.1,177130
TDH,06/17/2011,20.0,20.0,19.0,19.0,568470
TDH,06/16/2011,19.3,20.0,19.0,20.0,375720
TDH,06/15/2011,20.4,20.4,19.4,19.4,346110
TDH,06/14/2011,20.1,21.4,19.9,20.4,730820
TDH,06/13/2011,20.4,21.4,19.8,20.4,621240
TDH,06/10/2011,20.2,20.5,19.8,20.4,485500
TDH,06/09/2011,19.6,20.6,19.0,19.6,307050
TDH,06/08/2011,20.4,20.7,19.5,19.9,275740
TDH,06/07/2011,19.9,19.9,19.6,19.9,191170
TDH,06/06/2011,18.3,19.0,18.1,19.0,321310
TDH,06/03/2011,19.0,19.0,18.0,18.1,229080
TDH,06/02/2011,18.1,18.1,18.0,18.1,164680
TDH,06/01/2011,16.1,17.3,16.1,17.3,97500
TDH,05/31/2011,16.3,16.7,16.1,16.5,147960
TDH,05/30/2011,17.9,17.9,16.9,16.9,140780
TDH,05/27/2011,17.7,17.7,16.8,17.7,151650
TDH,05/26/2011,15.3,16.9,15.3,16.9,140930
TDH,05/25/2011,16.1,16.2,16.1,16.1,383790
TDH,05/24/2011,16.9,17.2,16.9,16.9,437160
TDH,05/23/2011,18.2,18.3,17.6,17.7,314820
TDH,05/20/2011,18.4,18.4,18.0,18.2,124080
TDH,05/19/2011,18.5,19.0,18.4,18.4,151710
TDH,05/18/2011,19.5,19.8,18.9,19.0,88200
TDH,05/17/2011,20.1,20.2,19.5,19.8,148620
TDH,05/16/2011,21.3,21.3,20.3,20.3,71060
TDH,05/13/2011,20.9,20.9,20.3,20.9,105990
TDH,05/12/2011,21.3,21.4,20.9,20.9,46250
TDH,05/11/2011,21.7,21.8,21.3,21.4,112750
TDH,05/10/2011,21.5,21.9,21.5,21.5,60210
TDH,05/09/2011,22.1,22.2,21.5,21.5,306950
TDH,05/06/2011,22.2,22.6,22.0,22.2,102940
TDH,05/05/2011,22.6,22.6,22.3,22.5,33290
TDH,05/04/2011,22.6,22.9,22.6,22.7,19920
TDH,04/29/2011,22.5,23.1,22.5,22.7,44420
TDH,04/28/2011,22.4,23.2,22.4,22.5,66760
TDH,04/27/2011,22.8,23.4,22.8,22.9,83860
TDH,04/26/2011,23.8,23.8,22.8,22.8,27480
TDH,04/25/2011,23.2,23.8,23.2,23.8,77620
TDH,04/22/2011,23.3,23.4,22.8,22.8,59380
TDH,04/21/2011,23.8,24.5,23.3,23.3,99910
TDH,04/20/2011,24.2,24.2,23.9,24.0,30370
TDH,04/19/2011,23.9,24.3,23.9,23.9,47050
TDH,04/18/2011,24.3,24.4,23.8,23.9,74490
TDH,04/15/2011,24.6,24.7,24.4,24.5,136580
TDH,04/14/2011,24.9,25.0,24.6,24.7,29170
TDH,04/13/2011,25.5,25.5,25.0,25.0,19140
TDH,04/08/2011,25.5,25.7,25.4,25.5,37640
TDH,04/07/2011,25.8,26.2,25.4,25.5,211270
TDH,04/06/2011,24.6,25.2,24.2,25.1,99550
TDH,04/05/2011,24.5,24.5,24.0,24.0,68790
TDH,04/04/2011,24.4,24.8,24.2,24.3,63200
TDH,04/01/2011,25.0,25.0,24.4,24.4,55480
TDH,03/31/2011,25.0,25.1,24.6,24.6,59400
TDH,03/30/2011,24.5,24.8,24.4,24.7,104000
TDH,03/29/2011,25.0,25.5,24.8,25.0,123060
TDH,03/28/2011,25.5,25.5,25.0,25.1,51690
TDH,03/25/2011,25.2,25.5,24.9,25.0,144270
TDH,03/24/2011,26.3,26.3,25.1,25.1,171270
TDH,03/23/2011,25.6,26.2,25.9,26.2,89010
TDH,03/22/2011,26.8,26.8,25.6,25.9,210690
TDH,03/21/2011,27.5,27.5,26.9,27.0,294720
TDH,03/18/2011,26.3,27.0,25.5,27.0,350020
TDH,03/17/2011,26.4,26.8,26.1,26.3,205010
TDH,03/16/2011,26.4,26.8,26.0,26.4,227210
TDH,03/15/2011,25.0,26.5,25.0,26.4,307870
TDH,03/14/2011,26.3,26.6,25.3,25.5,283650
TDH,03/11/2011,26.6,26.6,26.6,26.6,244110
TDH,03/10/2011,24.1,25.3,24.1,25.3,255370
TDH,03/09/2011,24.4,24.4,23.6,24.1,77720
TDH,03/08/2011,24.0,25.2,24.0,24.7,261230
TDH,03/07/2011,23.5,24.0,23.5,24.0,159490
TDH,03/04/2011,23.7,24.2,23.2,23.5,198980
TDH,03/03/2011,24.5,24.5,23.6,23.7,223220
TDH,03/02/2011,25.5,25.7,24.6,24.6,277770
TDH,03/01/2011,25.9,26.4,25.6,25.8,132620
TDH,02/28/2011,26.6,26.9,26.3,26.4,124510
TDH,02/25/2011,26.1,26.5,26.0,26.4,101590
TDH,02/24/2011,26.1,26.4,25.4,26.0,182690
TDH,02/23/2011,25.9,26.8,25.7,26.6,275490
TDH,02/22/2011,25.3,26.3,25.3,25.6,243850
TDH,02/21/2011,27.5,27.5,26.5,26.5,283970
TDH,02/18/2011,28.8,29.6,27.8,27.8,231830
TDH,02/17/2011,30.5,30.5,29.2,29.2,100380
TDH,02/16/2011,30.3,30.5,29.9,29.9,98450
TDH,02/15/2011,30.6,30.7,30.0,30.3,102100
TDH,02/14/2011,31.2,31.2,30.6,30.6,162460
TDH,02/11/2011,30.7,31.4,30.5,30.8,68750
TDH,02/10/2011,30.7,31.0,30.6,30.7,40610
TDH,02/09/2011,31.9,31.9,30.9,30.9,76850
TDH,02/08/2011,31.2,31.3,31.0,31.1,90410
TDH,01/28/2011,31.1,31.5,30.9,30.9,123930
TDH,01/27/2011,30.7,30.8,30.2,30.8,103100
TDH,01/26/2011,30.2,30.2,29.6,30.0,83960
TDH,01/25/2011,29.5,29.9,29.5,29.6,115570
TDH,01/24/2011,31.2,31.2,30.2,30.2,95200
TDH,01/21/2011,30.5,31.5,30.7,30.7,269830
TDH,01/20/2011,31.3,31.3,30.4,30.7,88790
TDH,01/19/2011,31.2,31.8,30.5,30.7,239860
TDH,01/18/2011,31.0,31.7,31.0,31.4,95830
TDH,01/17/2011,30.9,32.1,30.9,31.7,113050
TDH,01/14/2011,31.1,31.7,30.8,31.3,163140
TDH,01/13/2011,30.5,31.4,30.3,30.7,178920
TDH,01/12/2011,30.2,30.8,30.0,30.5,70980
TDH,01/11/2011,31.1,31.2,29.9,29.9,265090
TDH,01/10/2011,32.5,32.5,31.0,31.3,193140
TDH,01/07/2011,32.5,32.9,32.4,32.4,150940
TDH,01/06/2011,32.7,33.4,32.3,32.4,73610
TDH,01/05/2011,33.7,33.7,32.7,32.7,163610
TDH,01/04/2011,33.0,33.9,33.0,33.5,96010
TDH,12/31/2010,33.0,33.2,32.7,33.0,122840
TDH,12/30/2010,33.3,33.3,32.6,32.6,187540
TDH,12/29/2010,34.9,35.0,33.1,33.1,101390
TDH,12/28/2010,33.4,34.0,33.0,34.0,395820
TDH,12/27/2010,32.1,32.8,32.0,32.5,236300
TDH,12/24/2010,33.1,33.2,31.8,32.1,226640
TDH,12/23/2010,34.0,34.0,32.6,32.6,286700
TDH,12/22/2010,35.3,35.4,33.9,34.0,261010
TDH,12/21/2010,33.5,34.9,32.9,34.1,554670
TDH,12/20/2010,35.4,35.4,34.1,34.1,542360
TDH,12/17/2010,34.0,34.2,32.7,34.2,380070
TDH,12/16/2010,33.6,34.3,32.6,32.6,661430
TDH,12/15/2010,35.5,36.7,34.3,34.3,789530
TDH,12/14/2010,36.4,38.0,34.4,35.9,1255550
TDH,12/13/2010,36.2,36.2,36.2,36.2,238780
TDH,12/10/2010,34.4,34.5,33.6,34.5,846410
TDH,12/09/2010,31.2,32.9,30.3,32.9,797840
TDH,12/08/2010,33.0,33.2,31.4,31.4,1159260
TDH,12/07/2010,33.0,33.0,32.3,33.0,1780100
TDH,12/06/2010,31.5,31.5,31.5,31.5,531260
