<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TYA,06/29/2011,4.0,4.0,4.0,4.0,10
TYA,06/28/2011,3.9,4.1,3.9,3.9,1290
TYA,06/27/2011,3.9,4.1,3.9,4.1,420
TYA,06/24/2011,4.1,4.1,3.9,4.1,12140
TYA,06/23/2011,4.1,4.2,3.9,4.1,19580
TYA,06/22/2011,4.0,4.0,4.0,4.0,18940
TYA,06/21/2011,3.9,3.9,3.9,3.9,8510
TYA,06/20/2011,3.8,4.0,3.8,3.8,2230
TYA,06/17/2011,3.8,4.1,3.8,4.0,4830
TYA,06/16/2011,4.0,4.0,4.0,4.0,2940
TYA,06/15/2011,4.1,4.1,4.0,4.0,13070
TYA,06/14/2011,4.0,4.2,4.0,4.1,28920
TYA,06/13/2011,3.9,4.0,3.8,4.0,15600
TYA,06/10/2011,3.8,3.9,3.8,3.9,7160
TYA,06/09/2011,4.0,4.2,3.8,3.8,17960
TYA,06/08/2011,4.0,4.0,3.8,4.0,7040
TYA,06/07/2011,4.1,4.2,4.0,4.0,4670
TYA,06/06/2011,4.2,4.2,4.0,4.1,6300
TYA,06/03/2011,4.3,4.3,4.0,4.2,13930
TYA,06/02/2011,4.0,4.2,4.0,4.2,9590
TYA,06/01/2011,3.9,4.0,3.9,4.0,9380
TYA,05/31/2011,3.9,4.0,3.9,3.9,5680
TYA,05/30/2011,3.9,3.9,3.8,3.9,380
TYA,05/27/2011,3.7,3.8,3.7,3.8,13280
TYA,05/26/2011,3.7,3.9,3.7,3.7,11000
TYA,05/25/2011,3.9,3.9,3.8,3.8,12780
TYA,05/24/2011,3.9,3.9,3.9,3.9,9190
TYA,05/23/2011,4.2,4.2,4.0,4.1,3960
TYA,05/20/2011,4.0,4.2,4.0,4.2,520
TYA,05/19/2011,4.1,4.3,4.1,4.1,7970
TYA,05/18/2011,4.3,4.3,4.1,4.3,2050
TYA,05/17/2011,4.1,4.3,4.1,4.3,670
TYA,05/16/2011,4.2,4.3,4.1,4.2,3020
TYA,05/13/2011,4.4,4.4,4.2,4.2,5850
TYA,05/12/2011,4.3,4.4,4.3,4.4,1690
TYA,05/11/2011,4.3,4.7,4.3,4.3,7670
TYA,05/10/2011,4.6,4.6,4.3,4.5,1310
TYA,05/09/2011,4.3,4.5,4.2,4.5,19260
TYA,05/06/2011,4.4,4.4,4.3,4.3,10740
TYA,05/05/2011,4.7,4.8,4.5,4.5,10730
TYA,05/04/2011,4.6,4.7,4.6,4.7,22260
TYA,04/29/2011,4.4,4.5,4.4,4.5,15770
TYA,04/28/2011,3.9,4.3,3.9,4.3,13270
TYA,04/27/2011,4.0,4.1,4.0,4.1,8640
TYA,04/26/2011,4.3,4.3,4.1,4.2,9000
TYA,04/25/2011,4.4,4.4,4.3,4.3,10330
TYA,04/22/2011,4.4,4.5,4.4,4.5,2300
TYA,04/21/2011,4.5,4.6,4.4,4.4,3430
TYA,04/20/2011,4.5,4.6,4.5,4.6,20900
TYA,04/19/2011,4.6,4.6,4.4,4.6,1730
TYA,04/18/2011,4.6,4.6,4.6,4.6,150
TYA,04/15/2011,4.5,4.7,4.7,4.6,1550
TYA,04/14/2011,4.6,4.8,4.6,4.7,6450
TYA,04/13/2011,4.7,4.8,4.6,4.7,10920
TYA,04/08/2011,4.9,4.9,4.8,4.8,11160
TYA,04/07/2011,4.6,4.8,4.6,4.8,530
TYA,04/06/2011,4.6,4.8,4.5,4.8,14600
TYA,04/05/2011,4.6,4.6,4.6,4.6,7830
TYA,04/04/2011,4.7,4.8,4.5,4.7,2080
TYA,04/01/2011,4.7,4.9,4.7,4.7,2910
TYA,03/31/2011,4.8,4.8,4.7,4.8,2960
TYA,03/30/2011,4.8,4.8,4.7,4.8,22530
TYA,03/29/2011,4.8,4.8,4.8,4.8,4140
TYA,03/28/2011,4.9,4.9,4.9,4.9,28500
TYA,03/25/2011,4.9,4.9,4.8,4.9,31930
TYA,03/24/2011,4.9,4.9,4.8,4.9,11860
TYA,03/23/2011,4.9,4.8,4.8,4.9,2550
TYA,03/22/2011,4.9,5.0,4.8,4.8,3730
TYA,03/21/2011,4.9,4.9,4.9,4.9,5770
TYA,03/18/2011,4.9,4.9,4.9,4.9,1320
TYA,03/17/2011,5.0,5.0,4.8,4.8,5740
TYA,03/16/2011,4.9,4.9,4.9,4.9,610
TYA,03/15/2011,4.9,4.9,4.8,4.9,23890
TYA,03/14/2011,4.9,5.1,4.9,5.0,32800
TYA,03/11/2011,5.1,5.1,4.9,5.0,27030
TYA,03/10/2011,4.9,5.0,4.8,5.0,8530
TYA,03/09/2011,4.9,4.9,4.8,4.8,8340
TYA,03/08/2011,4.9,4.9,4.9,4.9,3000
TYA,03/07/2011,5.0,5.0,4.8,4.9,20020
TYA,03/04/2011,4.8,5.0,4.8,5.0,2030
TYA,03/03/2011,4.9,4.9,4.8,4.8,2610
TYA,03/02/2011,5.1,5.1,4.9,5.0,8620
TYA,03/01/2011,5.1,5.1,5.0,5.1,8080
TYA,02/28/2011,5.3,5.3,5.0,5.1,20590
TYA,02/25/2011,5.2,5.3,5.1,5.1,14360
TYA,02/24/2011,5.2,5.3,5.2,5.2,13400
TYA,02/23/2011,5.4,5.4,5.1,5.2,11910
TYA,02/22/2011,5.3,5.4,5.1,5.3,11480
TYA,02/21/2011,5.7,5.7,5.3,5.3,54830
TYA,02/18/2011,5.8,5.8,5.5,5.5,22950
TYA,02/17/2011,5.9,5.9,5.6,5.7,36230
TYA,02/16/2011,5.9,5.9,5.8,5.8,24910
TYA,02/15/2011,6.0,5.9,5.8,5.8,2190
TYA,02/14/2011,6.1,6.1,5.9,5.9,11250
TYA,02/11/2011,6.1,6.1,6.0,6.0,11820
TYA,02/10/2011,6.1,6.2,6.0,6.1,16660
TYA,02/09/2011,6.2,6.2,6.1,6.1,3290
TYA,02/08/2011,6.3,6.3,6.0,6.2,10440
TYA,01/28/2011,6.0,6.2,6.0,6.2,25800
TYA,01/27/2011,6.0,6.0,5.9,6.0,670
TYA,01/26/2011,5.9,5.9,5.9,5.9,1100
TYA,01/25/2011,5.9,5.9,5.8,5.9,3090
TYA,01/24/2011,6.0,6.0,5.7,5.9,2720
TYA,01/21/2011,6.0,6.0,5.9,5.9,7100
TYA,01/20/2011,5.9,6.0,5.8,6.0,2160
TYA,01/19/2011,6.0,6.0,5.9,6.0,10610
TYA,01/18/2011,6.0,6.0,5.9,6.0,12720
TYA,01/17/2011,6.0,6.0,6.0,6.0,12280
TYA,01/14/2011,5.9,5.9,5.9,5.9,1000
TYA,01/13/2011,6.0,6.1,5.9,5.9,5990
TYA,01/12/2011,6.0,6.0,5.9,6.0,1270
TYA,01/11/2011,5.9,6.0,5.8,5.9,10070
TYA,01/10/2011,5.9,6.0,5.9,6.0,1170
TYA,01/07/2011,6.0,6.2,6.0,6.1,2510
TYA,01/06/2011,6.0,6.2,6.0,6.1,1110
TYA,01/05/2011,6.1,6.1,6.0,6.0,7580
TYA,01/04/2011,6.0,6.1,6.0,6.1,1420
TYA,12/31/2010,5.9,6.2,5.9,6.0,9830
TYA,12/30/2010,6.1,6.0,6.0,6.0,3860
TYA,12/29/2010,6.2,6.2,6.0,6.0,3600
TYA,12/28/2010,6.2,6.2,6.0,6.0,3010
TYA,12/27/2010,5.8,6.2,5.8,6.2,1300
TYA,12/24/2010,6.0,6.1,6.0,6.0,4050
TYA,12/23/2010,6.0,6.0,5.9,6.0,13390
TYA,12/22/2010,6.0,6.3,6.2,6.2,9990
TYA,12/21/2010,6.0,6.2,5.9,6.2,30200
TYA,12/20/2010,6.3,6.3,6.0,6.0,11930
TYA,12/17/2010,6.0,6.3,6.0,6.2,15950
TYA,12/16/2010,6.2,6.2,6.0,6.2,22330
TYA,12/15/2010,6.6,6.6,6.2,6.2,27390
TYA,12/14/2010,6.4,6.6,6.4,6.4,20820
TYA,12/13/2010,6.6,6.7,6.6,6.7,26420
TYA,12/10/2010,6.3,6.5,6.2,6.4,9190
TYA,12/09/2010,6.1,6.3,6.0,6.3,3800
TYA,12/08/2010,6.1,6.1,6.0,6.0,14610
TYA,12/07/2010,6.3,6.4,6.3,6.3,41380
TYA,12/06/2010,6.7,6.7,6.3,6.6,33790
TYA,12/03/2010,6.3,6.5,6.3,6.5,40620
TYA,12/02/2010,5.9,6.2,5.9,6.2,18360
TYA,12/01/2010,6.0,6.1,6.0,6.0,34960
TYA,11/30/2010,6.1,6.3,6.1,6.2,18340
TYA,11/29/2010,5.8,6.0,5.8,6.0,30370
TYA,11/26/2010,5.7,5.8,5.7,5.8,12550
TYA,11/25/2010,5.7,5.8,5.6,5.8,36130
TYA,11/24/2010,5.6,5.6,5.4,5.6,9690
TYA,11/23/2010,5.6,5.7,5.5,5.5,13350
TYA,11/22/2010,5.7,5.7,5.5,5.7,7080
TYA,11/19/2010,5.8,5.8,5.5,5.7,7790
TYA,11/18/2010,5.6,5.8,5.6,5.7,26360
TYA,11/17/2010,5.5,5.6,5.5,5.6,16840
TYA,11/16/2010,5.6,5.7,5.3,5.4,11350
TYA,11/15/2010,5.9,5.9,5.5,5.5,13530
TYA,11/12/2010,5.8,5.9,5.7,5.7,38080
TYA,11/11/2010,6.2,6.2,5.9,6.0,19910
TYA,11/10/2010,6.3,6.3,6.0,6.2,460
TYA,11/09/2010,6.2,6.3,6.1,6.1,5820
TYA,11/08/2010,6.2,6.3,6.2,6.2,14590
TYA,11/05/2010,6.3,6.4,6.2,6.2,11500
TYA,11/04/2010,6.0,6.2,6.0,6.2,5170
TYA,11/03/2010,6.3,6.3,6.0,6.0,47650
TYA,11/02/2010,6.6,6.6,6.3,6.3,14240
TYA,11/01/2010,6.7,6.7,6.3,6.6,20580
TYA,10/29/2010,6.6,6.6,6.4,6.6,34370
TYA,10/28/2010,6.8,6.8,6.6,6.7,11700
TYA,10/27/2010,6.9,6.9,6.6,6.6,25530
TYA,10/26/2010,7.0,7.1,6.8,6.9,53080
TYA,10/25/2010,6.9,6.9,6.6,6.9,118410
TYA,10/22/2010,6.6,6.6,6.6,6.6,10200
TYA,10/21/2010,6.0,6.3,6.0,6.3,51560
TYA,10/20/2010,6.2,6.2,6.0,6.0,6460
TYA,10/19/2010,6.3,6.3,6.1,6.3,4520
TYA,10/18/2010,6.3,6.3,6.2,6.3,14650
TYA,10/15/2010,6.3,6.4,6.2,6.4,7270
TYA,10/14/2010,6.3,6.3,6.0,6.3,25020
TYA,10/13/2010,6.2,6.3,6.2,6.2,3080
TYA,10/12/2010,6.1,6.2,6.0,6.2,13070
TYA,10/11/2010,6.3,6.3,6.0,6.2,9730
TYA,10/08/2010,6.5,6.5,6.2,6.2,26600
TYA,10/07/2010,6.6,6.6,6.4,6.5,5930
TYA,10/06/2010,6.4,6.6,6.3,6.6,4690
TYA,10/05/2010,6.1,6.5,6.1,6.5,33560
TYA,10/04/2010,6.5,6.5,6.4,6.4,1530
TYA,10/01/2010,6.5,6.6,6.5,6.6,3410
TYA,09/30/2010,6.7,6.7,6.5,6.5,10320
TYA,09/29/2010,6.7,6.8,6.7,6.7,9850
TYA,09/28/2010,6.9,6.9,6.8,6.8,5920
TYA,09/27/2010,6.8,6.9,6.8,6.8,9220
TYA,09/24/2010,6.7,6.9,6.7,6.8,350
TYA,09/23/2010,6.8,6.8,6.7,6.7,5150
TYA,09/22/2010,6.9,6.9,6.8,6.9,5300
TYA,09/21/2010,6.9,6.9,6.8,6.9,15090
TYA,09/20/2010,6.9,7.1,6.9,7.0,5150
TYA,09/17/2010,7.0,7.1,6.8,6.9,31570
TYA,09/16/2010,7.0,6.9,6.9,6.9,5950
TYA,09/15/2010,7.0,7.0,6.9,6.9,2730
TYA,09/14/2010,6.8,7.1,6.8,6.9,4700
TYA,09/13/2010,6.9,7.0,6.8,6.9,11980
TYA,09/10/2010,7.1,7.2,7.0,7.1,16110
TYA,09/09/2010,7.1,7.2,7.1,7.2,12410
TYA,09/08/2010,7.1,7.1,7.0,7.1,13460
TYA,09/07/2010,7.0,7.3,7.0,7.1,16450
TYA,09/06/2010,7.1,7.4,7.1,7.2,26060
TYA,09/01/2010,7.4,7.4,7.1,7.1,37100
TYA,08/31/2010,7.2,7.4,7.2,7.4,15380
TYA,08/30/2010,7.2,7.2,7.2,7.2,19560
TYA,08/27/2010,6.6,6.9,6.5,6.9,10090
TYA,08/26/2010,7.2,7.2,6.7,6.8,16140
TYA,08/25/2010,7.3,7.3,6.9,6.9,26300
TYA,08/24/2010,7.4,7.5,7.2,7.2,30880
TYA,08/23/2010,7.5,7.5,7.4,7.5,25170
TYA,08/20/2010,7.6,7.7,7.5,7.7,28160
TYA,08/19/2010,7.8,7.8,7.5,7.8,5850
TYA,08/18/2010,7.8,7.8,7.7,7.8,8140
TYA,08/17/2010,7.7,7.9,7.5,7.5,19120
TYA,08/16/2010,7.7,8.0,7.7,7.8,40530
TYA,08/13/2010,7.8,7.8,7.6,7.7,5140
TYA,08/12/2010,7.8,8.1,7.7,7.7,28890
TYA,08/11/2010,7.6,8.1,7.6,8.1,43160
TYA,08/10/2010,7.8,7.9,7.8,7.8,56950
TYA,08/09/2010,8.0,8.0,7.7,7.8,34840
TYA,08/06/2010,8.0,8.1,7.9,8.0,19480
TYA,08/05/2010,8.2,8.2,7.8,8.0,41630
TYA,08/04/2010,8.0,8.1,8.0,8.0,16950
TYA,08/03/2010,8.3,8.3,8.1,8.1,35500
TYA,08/02/2010,8.2,8.5,8.2,8.3,9660
TYA,07/30/2010,8.2,8.4,8.2,8.2,19890
TYA,07/29/2010,8.2,8.5,8.2,8.3,22910
TYA,07/28/2010,8.4,8.5,8.3,8.3,27930
TYA,07/27/2010,8.3,8.5,8.3,8.4,18720
TYA,07/26/2010,8.6,8.6,8.3,8.3,59750
TYA,07/23/2010,8.9,9.0,8.6,8.7,38620
TYA,07/22/2010,8.8,9.0,8.8,8.8,29860
TYA,07/21/2010,9.0,9.0,8.8,9.0,47130
TYA,07/20/2010,8.7,8.9,8.7,8.8,25170
TYA,07/19/2010,8.9,9.0,8.8,8.8,32880
TYA,07/16/2010,8.7,9.1,8.6,9.0,63200
TYA,07/15/2010,8.9,8.9,8.7,8.8,54680
TYA,07/14/2010,9.2,9.2,8.9,9.0,40510
TYA,07/13/2010,9.6,9.6,9.0,9.0,116680
TYA,07/12/2010,9.2,9.2,9.1,9.2,113890
TYA,07/09/2010,9.5,9.5,8.8,8.8,240740
TYA,07/08/2010,9.1,9.1,9.1,9.1,59530
TYA,07/07/2010,8.4,8.7,8.3,8.7,167510
TYA,07/06/2010,8.3,8.3,8.1,8.3,36050
TYA,07/05/2010,8.4,8.5,8.3,8.3,14640
TYA,07/02/2010,8.5,8.5,8.3,8.4,17560
TYA,07/01/2010,8.3,8.4,8.3,8.3,9730
TYA,06/30/2010,8.3,8.4,8.2,8.3,10200
TYA,06/29/2010,8.6,8.6,8.4,8.5,27260
TYA,06/28/2010,8.3,8.5,8.2,8.3,33900
TYA,06/25/2010,8.2,8.3,8.2,8.3,9350
TYA,06/24/2010,8.5,8.6,8.3,8.4,14120
TYA,06/23/2010,8.2,8.6,8.2,8.5,11670
TYA,06/22/2010,8.5,8.5,8.3,8.3,27720
TYA,06/21/2010,8.3,8.6,8.2,8.5,44080
TYA,06/18/2010,8.4,8.4,8.3,8.3,9360
TYA,06/17/2010,8.6,8.6,8.4,8.4,5840
TYA,06/16/2010,8.4,8.7,8.3,8.6,59990
TYA,06/15/2010,8.2,8.4,8.2,8.3,8920
TYA,06/14/2010,8.2,8.4,8.2,8.4,17260
TYA,06/11/2010,8.4,8.5,8.2,8.2,22050
TYA,06/10/2010,8.4,8.4,8.1,8.3,2000
TYA,06/09/2010,8.3,8.5,8.2,8.3,29890
TYA,06/08/2010,8.1,8.4,8.1,8.4,26050
TYA,06/07/2010,8.1,8.4,8.0,8.2,14760
TYA,06/04/2010,8.6,8.6,8.3,8.4,16880
TYA,06/03/2010,8.4,8.4,8.3,8.3,24970
TYA,06/02/2010,8.2,8.6,8.2,8.3,22140
TYA,06/01/2010,8.4,8.6,8.4,8.4,17240
TYA,05/31/2010,8.8,8.8,8.6,8.6,20800
TYA,05/28/2010,9.1,9.1,8.8,9.0,31210
TYA,05/27/2010,8.6,8.8,8.5,8.8,77490
TYA,05/26/2010,8.3,8.4,8.2,8.4,32220
TYA,05/25/2010,8.0,8.1,8.0,8.0,23730
TYA,05/24/2010,7.8,8.1,7.8,8.0,12990
TYA,05/21/2010,7.8,8.0,7.8,7.8,65410
TYA,05/20/2010,8.0,8.5,7.9,8.2,27820
TYA,05/19/2010,8.3,8.5,8.3,8.3,45380
TYA,05/18/2010,8.4,8.7,8.3,8.7,20650
TYA,05/17/2010,8.8,8.8,8.4,8.4,77300
TYA,05/14/2010,8.9,9.0,8.7,8.8,80500
TYA,05/13/2010,9.2,9.5,9.0,9.1,42960
TYA,05/12/2010,9.3,9.3,9.2,9.2,54820
TYA,05/11/2010,9.5,9.6,9.4,9.6,83530
TYA,05/10/2010,9.8,9.8,9.3,9.3,97980
TYA,05/07/2010,9.7,9.7,9.1,9.7,267680
TYA,05/06/2010,9.0,9.3,9.0,9.3,123950
TYA,05/05/2010,8.9,9.0,8.7,8.9,64800
TYA,05/04/2010,8.7,9.1,8.7,9.0,111720
TYA,04/29/2010,8.7,8.9,8.6,8.7,75210
TYA,04/28/2010,8.8,8.8,8.6,8.7,40440
TYA,04/27/2010,8.6,8.9,8.6,8.9,12810
TYA,04/26/2010,8.7,9.0,8.6,8.6,74690
TYA,04/22/2010,9.5,9.5,9.0,9.0,77600
TYA,04/21/2010,9.4,9.4,9.0,9.4,162230
TYA,04/20/2010,9.8,9.8,9.0,9.0,76080
TYA,04/19/2010,9.4,9.4,9.1,9.4,138110
TYA,04/16/2010,8.8,9.0,8.6,9.0,142440
TYA,04/15/2010,8.3,8.6,8.2,8.6,112660
TYA,04/14/2010,8.0,8.3,8.0,8.2,35630
TYA,04/13/2010,8.2,8.2,8.1,8.1,44140
TYA,04/12/2010,8.2,8.3,8.1,8.1,58550
TYA,04/09/2010,8.3,8.3,8.1,8.1,32370
TYA,04/08/2010,8.3,8.3,8.1,8.2,15990
TYA,04/07/2010,8.2,8.3,8.1,8.3,20550
TYA,04/06/2010,8.3,8.4,8.2,8.3,31670
TYA,04/05/2010,8.0,8.3,8.0,8.3,34560
TYA,04/02/2010,7.9,8.2,7.9,8.2,17560
TYA,04/01/2010,8.0,8.2,8.0,8.0,5890
TYA,03/31/2010,8.0,8.2,8.0,8.0,22700
TYA,03/30/2010,7.9,8.0,7.9,7.9,7730
TYA,03/29/2010,8.0,8.1,7.9,7.9,9910
TYA,03/26/2010,8.1,8.1,7.9,8.1,17590
TYA,03/25/2010,8.0,8.2,8.0,8.2,28340
TYA,03/24/2010,8.4,8.4,7.9,7.9,30230
TYA,03/23/2010,8.3,8.4,8.3,8.3,4050
TYA,03/22/2010,8.3,8.4,8.2,8.4,11870
TYA,03/19/2010,8.4,8.4,8.2,8.2,19330
TYA,03/18/2010,8.3,8.4,8.3,8.3,11030
TYA,03/17/2010,8.4,8.4,8.3,8.3,30720
TYA,03/16/2010,8.7,8.8,8.3,8.3,42580
TYA,03/15/2010,8.6,8.7,8.6,8.7,82950
TYA,03/12/2010,8.5,8.5,8.3,8.4,52540
TYA,03/11/2010,8.2,8.4,8.2,8.4,35580
TYA,03/10/2010,8.6,8.6,8.3,8.3,13840
TYA,03/09/2010,8.3,8.6,8.2,8.6,47280
TYA,03/08/2010,8.4,8.4,8.3,8.4,39520
TYA,03/05/2010,8.3,8.4,8.3,8.3,8230
TYA,03/04/2010,8.2,8.4,8.1,8.3,26980
TYA,03/03/2010,8.0,8.2,8.0,8.2,7490
TYA,03/02/2010,8.3,8.3,7.9,8.0,72420
TYA,03/01/2010,8.5,8.5,8.2,8.3,8000
TYA,02/26/2010,8.1,8.1,7.8,8.1,9740
TYA,02/25/2010,8.2,8.2,8.0,8.1,11870
TYA,02/24/2010,8.3,8.4,8.0,8.0,4150
TYA,02/23/2010,8.4,8.4,8.2,8.3,3180
TYA,02/22/2010,8.4,8.5,8.3,8.4,7510
TYA,02/12/2010,8.5,8.5,8.4,8.4,2650
TYA,02/11/2010,8.2,8.6,8.2,8.5,2110
TYA,02/10/2010,8.5,8.3,8.3,8.3,4790
TYA,02/09/2010,8.2,8.3,8.2,8.3,7650
TYA,02/08/2010,8.2,8.3,8.2,8.3,5310
TYA,02/05/2010,8.5,8.5,8.2,8.2,21600
TYA,02/04/2010,8.4,8.5,8.2,8.5,10260
TYA,02/03/2010,8.3,8.4,8.3,8.4,4760
TYA,02/02/2010,8.4,8.6,8.3,8.3,12570
TYA,02/01/2010,8.5,8.5,8.3,8.4,5710
TYA,01/29/2010,8.3,8.7,8.3,8.3,15530
TYA,01/28/2010,8.6,8.6,8.5,8.6,11640
TYA,01/27/2010,8.5,8.6,8.3,8.3,14070
TYA,01/26/2010,8.5,8.7,8.5,8.5,28320
TYA,01/25/2010,8.3,8.8,8.1,8.5,17820
TYA,01/22/2010,8.3,8.7,8.3,8.4,16020
TYA,01/21/2010,8.6,8.9,8.4,8.7,20140
TYA,01/20/2010,9.1,9.1,8.8,8.8,2350
TYA,01/19/2010,9.0,9.1,8.7,9.0,8100
TYA,01/18/2010,9.0,9.0,8.7,8.7,17270
TYA,01/15/2010,9.2,9.2,9.1,9.1,3540
TYA,01/14/2010,9.1,9.6,9.1,9.2,13140
TYA,01/13/2010,9.1,9.3,9.1,9.2,10860
TYA,01/12/2010,9.3,9.4,9.2,9.2,14450
TYA,01/11/2010,9.6,9.6,9.3,9.3,28280
TYA,01/08/2010,9.8,9.8,9.4,9.4,21030
TYA,01/07/2010,9.6,9.7,9.3,9.5,16720
TYA,01/06/2010,9.8,10.0,9.5,9.5,15640
TYA,01/05/2010,9.8,9.8,9.7,9.8,45210
TYA,01/04/2010,9.4,9.4,9.3,9.4,38210
TYA,12/31/2009,9.1,9.4,9.0,9.0,32340
TYA,12/30/2009,9.2,9.2,9.0,9.0,10440
TYA,12/29/2009,8.7,9.1,8.7,9.1,7950
TYA,12/28/2009,9.2,9.3,8.8,8.9,29680
TYA,12/25/2009,8.9,9.2,8.9,9.2,29390
TYA,12/24/2009,8.6,8.8,8.5,8.8,19520
TYA,12/23/2009,9.0,9.0,8.6,8.7,19830
TYA,12/22/2009,8.9,9.2,8.9,8.9,19670
TYA,12/21/2009,9.0,9.1,9.0,9.1,34660
TYA,12/18/2009,8.7,8.7,8.6,8.7,10570
TYA,12/17/2009,8.2,8.7,8.2,8.3,8530
TYA,12/16/2009,8.7,8.9,8.6,8.6,12050
TYA,12/15/2009,9.0,9.0,8.7,9.0,5120
TYA,12/14/2009,8.4,9.0,8.4,9.0,14430
TYA,12/11/2009,8.6,9.2,8.6,8.6,27840
TYA,12/10/2009,9.2,9.4,9.0,9.0,43680
TYA,12/09/2009,9.6,9.6,9.4,9.4,36540
TYA,12/08/2009,9.9,9.9,9.5,9.8,24800
TYA,12/07/2009,9.9,10.1,9.9,10.0,8430
TYA,12/04/2009,10.3,10.3,9.6,10.0,24900
TYA,12/03/2009,9.7,10.0,9.7,10.0,27930
TYA,12/02/2009,10.0,10.2,9.7,9.7,48690
TYA,12/01/2009,10.2,10.8,10.2,10.2,43430
TYA,11/30/2009,10.3,10.5,10.1,10.3,80600
TYA,11/27/2009,9.5,10.3,9.5,10.2,96630
TYA,11/26/2009,10.0,10.0,9.9,9.9,28860
