<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VFC,06/29/2011,9.6,9.8,9.6,9.7,114550
VFC,06/28/2011,9.7,9.8,9.6,9.8,181000
VFC,06/27/2011,10.0,10.0,9.7,9.8,123430
VFC,06/24/2011,10.0,10.0,9.7,10.0,19770
VFC,06/23/2011,10.0,10.0,9.8,9.8,111770
VFC,06/22/2011,10.0,10.1,9.9,10.1,54510
VFC,06/21/2011,9.8,10.1,9.8,10.1,21240
VFC,06/20/2011,9.8,10.0,9.6,9.9,174070
VFC,06/17/2011,10.4,10.4,9.9,9.9,85250
VFC,06/16/2011,10.7,10.7,10.2,10.4,33830
VFC,06/15/2011,10.7,10.7,10.2,10.4,69780
VFC,06/14/2011,10.6,10.9,10.3,10.7,311190
VFC,06/13/2011,9.9,10.4,9.8,10.4,99280
VFC,06/10/2011,10.4,10.4,9.8,10.2,44910
VFC,06/09/2011,10.0,10.0,9.6,10.0,52350
VFC,06/08/2011,9.9,10.1,9.7,9.9,169250
VFC,06/07/2011,10.3,10.4,10.1,10.2,16870
VFC,06/06/2011,10.0,10.0,9.6,10.0,84280
VFC,06/03/2011,10.2,10.2,10.1,10.1,94290
VFC,06/02/2011,10.7,10.7,10.4,10.6,8680
VFC,06/01/2011,10.3,10.4,10.0,10.4,33410
VFC,05/31/2011,10.0,10.0,9.5,10.0,63100
VFC,05/30/2011,9.8,10.0,9.5,10.0,68620
VFC,05/27/2011,9.3,9.9,9.3,9.9,151190
VFC,05/26/2011,8.7,9.5,8.7,9.5,326060
VFC,05/25/2011,9.7,9.7,9.1,9.1,209860
VFC,05/24/2011,9.5,9.5,9.5,9.5,181040
VFC,05/23/2011,10.4,10.4,9.5,10.0,257060
VFC,05/20/2011,9.8,10.0,9.6,10.0,535870
VFC,05/19/2011,11.0,11.1,10.1,10.1,146690
VFC,05/18/2011,10.8,11.3,10.6,10.6,175260
VFC,05/17/2011,10.9,11.8,10.9,11.1,29820
VFC,05/16/2011,12.1,12.1,11.3,11.3,66510
VFC,05/13/2011,12.0,12.1,11.8,11.8,24740
VFC,05/12/2011,12.0,12.3,11.9,12.3,12020
VFC,05/11/2011,12.6,12.6,11.9,12.2,18780
VFC,05/10/2011,12.6,12.6,11.8,12.3,22540
VFC,05/09/2011,12.8,12.8,12.1,12.3,35620
VFC,05/06/2011,12.4,12.5,11.9,12.3,38940
VFC,05/05/2011,12.4,12.5,12.3,12.4,37400
VFC,05/04/2011,12.7,12.7,11.9,12.5,6050
VFC,04/29/2011,12.1,12.6,12.1,12.4,90040
VFC,04/28/2011,12.2,12.5,12.0,12.0,119250
VFC,04/27/2011,12.8,13.2,12.6,12.6,58840
VFC,04/26/2011,13.9,13.9,13.2,13.2,31490
VFC,04/25/2011,13.3,13.9,13.3,13.8,29330
VFC,04/22/2011,13.6,13.6,13.3,13.3,81140
VFC,04/21/2011,14.5,14.8,14.0,14.0,35930
VFC,04/20/2011,15.4,15.4,14.7,14.7,21200
VFC,04/19/2011,15.2,15.5,14.8,15.2,51020
VFC,04/18/2011,16.5,16.5,15.2,15.4,42390
VFC,04/15/2011,15.7,15.9,15.5,15.8,114360
VFC,04/14/2011,15.8,16.0,15.8,16.0,7510
VFC,04/13/2011,16.2,16.2,15.8,16.1,11540
VFC,04/08/2011,16.1,16.1,15.7,16.1,15510
VFC,04/07/2011,16.5,16.5,15.9,15.9,61760
VFC,04/06/2011,16.2,16.6,16.2,16.5,177250
VFC,04/05/2011,15.7,16.2,15.2,16.2,105060
VFC,04/04/2011,15.9,15.9,15.6,15.7,46670
VFC,04/01/2011,15.6,15.7,15.6,15.6,63690
VFC,03/31/2011,15.5,16.2,15.5,15.6,238200
VFC,03/30/2011,15.5,16.0,15.3,15.5,106690
VFC,03/29/2011,15.7,16.0,15.4,15.7,166480
VFC,03/28/2011,16.3,16.4,15.9,15.9,43990
VFC,03/25/2011,16.4,16.4,16.0,16.2,78810
VFC,03/24/2011,16.4,16.7,16.2,16.4,98010
VFC,03/23/2011,16.5,16.8,16.0,16.1,63310
VFC,03/22/2011,16.1,16.6,15.9,16.5,382340
VFC,03/21/2011,15.9,15.9,15.9,15.9,10550
VFC,03/18/2011,14.8,15.2,14.5,15.2,75390
VFC,03/17/2011,15.0,15.1,14.5,14.5,114200
VFC,03/16/2011,14.6,15.0,14.4,15.0,155550
VFC,03/15/2011,14.6,15.1,14.5,15.0,67590
VFC,03/14/2011,15.3,15.5,15.1,15.1,141540
VFC,03/11/2011,15.5,16.0,15.5,15.8,336510
VFC,03/10/2011,15.2,15.8,15.2,15.4,309300
VFC,03/09/2011,15.0,15.2,14.7,15.2,61040
VFC,03/08/2011,15.0,15.5,14.7,15.4,118850
VFC,03/07/2011,15.2,15.2,14.9,15.0,53320
VFC,03/04/2011,15.2,15.9,14.9,14.9,353620
VFC,03/03/2011,16.3,16.3,15.6,15.6,227350
VFC,03/02/2011,16.7,16.7,16.0,16.4,161540
VFC,03/01/2011,16.9,16.9,16.1,16.8,497520
VFC,02/28/2011,16.8,17.2,16.4,16.9,318400
VFC,02/25/2011,16.5,17.2,16.5,17.2,133780
VFC,02/24/2011,16.3,16.9,16.2,16.9,126890
VFC,02/23/2011,17.0,17.3,16.9,17.0,172080
VFC,02/22/2011,16.2,17.0,16.2,17.0,101070
VFC,02/21/2011,16.3,17.0,16.3,17.0,386010
VFC,02/18/2011,18.0,18.0,17.1,17.1,282890
VFC,02/17/2011,18.5,18.5,17.8,18.0,91790
VFC,02/16/2011,18.5,18.7,18.1,18.5,188030
VFC,02/15/2011,18.2,18.6,17.8,18.5,392090
VFC,02/14/2011,18.7,18.8,18.2,18.2,224970
VFC,02/11/2011,19.0,19.0,18.5,18.9,237010
VFC,02/10/2011,19.0,19.2,18.7,19.1,130540
VFC,02/09/2011,18.8,19.3,18.8,19.4,431960
VFC,02/08/2011,19.4,19.4,18.5,18.7,335450
VFC,01/28/2011,19.6,19.6,18.8,19.4,576450
VFC,01/27/2011,18.9,19.7,18.9,19.7,588840
VFC,01/26/2011,18.9,19.8,18.9,19.8,188320
VFC,01/25/2011,18.6,20.0,18.6,19.5,488930
VFC,01/24/2011,20.5,20.5,19.5,19.5,191390
VFC,01/21/2011,19.7,20.7,19.6,20.5,274080
VFC,01/20/2011,20.5,21.5,20.3,20.6,270920
VFC,01/19/2011,20.2,21.3,20.0,21.3,656440
VFC,01/18/2011,22.1,22.1,21.0,21.0,654930
VFC,01/17/2011,21.5,22.2,21.2,22.1,1065770
VFC,01/14/2011,20.1,21.2,20.0,21.2,1207840
VFC,01/13/2011,18.7,20.2,18.7,20.2,601490
VFC,01/12/2011,18.2,19.3,18.1,19.3,415070
VFC,01/11/2011,19.0,19.6,18.8,18.8,222200
VFC,01/10/2011,20.1,20.1,19.3,19.7,161630
VFC,01/07/2011,20.3,20.9,19.9,20.1,423210
VFC,01/06/2011,19.6,20.1,19.4,20.1,265640
VFC,01/05/2011,20.1,20.4,19.4,19.9,344570
VFC,01/04/2011,21.1,21.3,20.3,20.3,473850
VFC,12/31/2010,20.3,21.1,20.3,21.0,411090
VFC,12/30/2010,21.3,21.4,20.7,21.0,348580
VFC,12/29/2010,20.4,21.6,20.4,21.2,500270
VFC,12/28/2010,19.6,20.7,19.6,20.7,1060920
VFC,12/27/2010,19.8,20.2,19.2,19.8,321010
VFC,12/24/2010,19.2,20.0,18.9,19.8,384110
VFC,12/23/2010,20.6,20.6,19.2,19.2,450280
VFC,12/22/2010,20.0,20.4,19.3,20.2,475970
VFC,12/21/2010,18.8,20.2,18.8,19.7,932190
VFC,12/20/2010,20.6,21.2,19.7,19.7,323930
VFC,12/17/2010,20.7,19.8,19.8,20.7,511710
VFC,12/16/2010,19.8,19.9,19.0,19.8,822280
VFC,12/15/2010,19.0,19.0,18.5,19.0,747490
VFC,12/14/2010,18.0,18.1,17.3,18.1,1385250
VFC,12/13/2010,17.0,17.3,16.6,17.3,630120
VFC,12/10/2010,16.1,16.5,15.6,16.5,244270
VFC,12/09/2010,15.4,15.9,14.5,15.8,261830
VFC,12/08/2010,15.4,15.9,15.2,15.2,145150
VFC,12/07/2010,16.2,16.8,16.0,16.0,338030
VFC,12/06/2010,16.9,17.9,16.8,16.8,291430
VFC,12/03/2010,17.2,17.3,16.6,17.3,528420
VFC,12/02/2010,16.5,16.5,16.0,16.5,452310
VFC,12/01/2010,15.8,15.8,15.8,15.8,269970
VFC,11/30/2010,14.4,15.1,14.4,15.1,215540
VFC,11/29/2010,14.5,14.5,14.1,14.4,186990
VFC,11/26/2010,14.1,14.4,14.1,14.4,131160
VFC,11/25/2010,14.4,14.8,14.1,14.4,157310
VFC,11/24/2010,14.3,14.5,14.1,14.1,129000
VFC,11/23/2010,14.0,14.6,14.0,14.3,78890
VFC,11/22/2010,13.6,14.2,13.6,14.0,56220
