<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VIP,06/29/2011,7.3,7.5,7.3,7.3,33430
VIP,06/28/2011,7.3,7.5,7.2,7.5,41740
VIP,06/27/2011,7.0,7.4,7.0,7.4,31300
VIP,06/24/2011,7.3,7.4,7.1,7.3,69770
VIP,06/23/2011,7.2,7.4,7.1,7.2,31700
VIP,06/22/2011,7.4,7.5,7.1,7.3,175760
VIP,06/21/2011,7.2,7.4,6.9,7.4,96900
VIP,06/20/2011,7.4,7.4,7.1,7.1,55910
VIP,06/17/2011,7.7,7.7,7.4,7.4,141270
VIP,06/16/2011,7.6,7.9,7.6,7.7,239080
VIP,06/15/2011,8.3,8.3,7.9,7.9,98190
VIP,06/14/2011,8.2,8.8,8.1,8.3,158320
VIP,06/13/2011,8.3,8.4,8.0,8.4,111490
VIP,06/10/2011,8.0,8.1,7.9,8.0,170780
VIP,06/09/2011,7.8,7.9,7.7,7.8,131450
VIP,06/08/2011,7.8,7.8,7.5,7.7,65920
VIP,06/07/2011,7.1,7.6,7.1,7.6,122890
VIP,06/06/2011,7.3,7.3,7.1,7.3,51630
VIP,06/03/2011,7.4,7.4,7.0,7.3,323210
VIP,06/02/2011,7.1,7.1,7.0,7.1,155590
VIP,06/01/2011,6.5,6.8,6.5,6.8,100670
VIP,05/31/2011,6.2,6.5,6.2,6.5,66380
VIP,05/30/2011,6.7,7.0,6.4,6.4,117620
VIP,05/27/2011,6.4,6.7,6.4,6.7,85500
VIP,05/26/2011,5.8,6.4,5.8,6.4,96740
VIP,05/25/2011,6.4,6.5,6.1,6.1,69590
VIP,05/24/2011,6.6,6.6,6.4,6.4,98060
VIP,05/23/2011,7.1,7.1,6.7,6.7,83620
VIP,05/20/2011,6.8,7.0,6.8,6.9,37400
VIP,05/19/2011,6.8,7.0,6.8,6.9,67210
VIP,05/18/2011,7.4,7.4,6.9,7.0,161150
VIP,05/17/2011,7.4,7.4,7.2,7.2,59720
