<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,06/29/2011,108.0,110.0,108.0,110.0,82490
VNM,06/28/2011,112.0,112.0,109.0,110.0,78210
VNM,06/27/2011,115.0,115.0,111.0,113.0,268890
VNM,06/24/2011,110.0,110.0,107.0,110.0,99330
VNM,06/23/2011,112.0,113.0,110.0,110.0,66850
VNM,06/22/2011,114.0,115.0,110.0,111.0,234510
VNM,06/21/2011,107.0,111.0,107.0,111.0,187080
VNM,06/20/2011,106.0,107.0,106.0,106.0,59140
VNM,06/17/2011,106.0,106.0,105.0,106.0,31690
VNM,06/16/2011,106.0,106.0,105.0,105.0,18610
VNM,06/15/2011,107.0,107.0,104.0,105.0,95850
VNM,06/14/2011,104.0,108.0,104.0,106.0,117440
VNM,06/13/2011,104.0,106.0,103.0,105.0,205940
VNM,06/10/2011,103.0,106.0,103.0,104.0,95480
VNM,06/09/2011,103.0,104.0,103.0,104.0,49090
VNM,06/08/2011,102.0,106.0,102.0,104.0,62420
VNM,06/07/2011,100.0,103.0,100.0,103.0,191290
VNM,06/06/2011,100.0,101.0,98.5,99.0,100820
VNM,06/03/2011,105.0,105.0,100.0,102.0,108310
VNM,06/02/2011,106.0,108.0,104.0,105.0,141980
VNM,06/01/2011,102.0,107.0,100.0,105.0,135660
VNM,05/31/2011,98.0,102.0,98.0,102.0,78660
VNM,05/30/2011,102.0,103.0,98.0,98.0,89320
VNM,05/27/2011,100.0,102.0,99.0,102.0,102480
VNM,05/26/2011,89.5,98.0,89.0,98.0,269540
VNM,05/25/2011,94.0,95.0,93.5,93.5,304800
VNM,05/24/2011,99.0,100.0,98.0,98.0,394970
VNM,05/23/2011,105.0,107.0,103.0,103.0,377510
VNM,05/20/2011,112.0,112.0,108.0,108.0,334050
VNM,05/19/2011,114.0,115.0,112.0,113.0,104890
VNM,05/18/2011,113.0,114.0,111.0,114.0,144330
VNM,05/17/2011,111.0,114.0,111.0,113.0,171320
VNM,05/16/2011,112.0,113.0,110.0,110.0,125680
VNM,05/13/2011,113.0,114.0,112.0,112.0,90260
VNM,05/12/2011,114.0,115.0,113.0,114.0,88210
VNM,05/11/2011,109.0,114.0,109.0,114.0,207690
VNM,05/10/2011,109.0,109.0,108.0,109.0,64080
VNM,05/09/2011,107.0,109.0,106.0,108.0,128850
VNM,05/06/2011,106.0,107.0,105.0,107.0,222710
VNM,05/05/2011,108.0,108.0,105.0,107.0,135900
VNM,05/04/2011,106.0,109.0,106.0,108.0,215760
VNM,04/29/2011,106.0,106.0,104.0,105.0,89040
VNM,04/28/2011,104.0,107.0,104.0,105.0,392210
VNM,04/27/2011,98.5,102.0,98.5,102.0,395560
VNM,04/26/2011,96.0,98.0,96.0,97.5,147250
VNM,04/25/2011,95.0,96.0,94.5,96.0,37690
VNM,04/22/2011,95.0,95.0,94.5,95.0,36080
VNM,04/21/2011,94.5,95.5,94.5,95.0,69590
VNM,04/20/2011,94.0,94.5,94.0,94.5,51790
VNM,04/19/2011,93.5,94.0,93.5,93.5,29660
VNM,04/18/2011,94.5,94.5,93.5,93.5,48910
VNM,04/15/2011,95.5,95.5,94.5,94.5,43550
VNM,04/14/2011,95.5,96.0,95.0,95.0,50140
VNM,04/13/2011,96.0,96.5,96.0,96.0,84540
VNM,04/08/2011,95.5,96.5,94.5,96.5,115640
VNM,04/07/2011,95.0,95.5,94.0,95.5,61300
VNM,04/06/2011,94.5,95.5,93.0,95.5,102230
VNM,04/05/2011,96.0,97.0,94.0,94.5,412290
VNM,04/04/2011,96.5,99.0,96.0,98.0,404480
VNM,04/01/2011,91.5,95.0,91.5,94.5,126620
VNM,03/31/2011,92.0,93.0,92.0,92.0,70040
VNM,03/30/2011,93.0,93.0,92.0,93.0,71380
VNM,03/29/2011,93.0,94.0,92.5,93.5,125060
VNM,03/28/2011,94.0,94.5,93.5,94.0,66650
VNM,03/25/2011,94.5,94.5,93.0,94.5,109040
VNM,03/24/2011,95.5,96.0,94.5,94.5,121380
VNM,03/23/2011,92.5,96.5,92.5,95.5,307480
VNM,03/22/2011,92.5,93.5,92.0,92.5,127980
VNM,03/21/2011,92.0,93.5,91.5,92.0,79290
VNM,03/18/2011,90.5,92.5,90.5,92.0,56490
VNM,03/17/2011,89.5,90.5,89.0,89.5,71250
VNM,03/16/2011,90.0,90.0,89.0,89.5,55610
VNM,03/15/2011,90.5,91.0,89.5,89.5,116260
VNM,03/14/2011,91.5,92.0,91.0,91.0,74990
VNM,03/11/2011,92.5,92.5,91.5,92.0,84430
